schemaVersion,recordType,source_name,source_url,collectedAt,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04806v1,2026-09-10T06:51:27.993954+00:00,When Financial Fine-tuning Fails: A Three-Level Detectability Analysis of Numerical Hallucination in Domain-Adapted Language Models,Xiaodong Li; Peiwei Liu,https://arxiv.org/abs/2609.04806v1,,0,2026-09-04T07:02:42Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04804v1,2026-09-10T06:51:27.995986+00:00,MedFlow: Class-Aware Multi-Scale Generation for Medical Time-Series Synthesis,Yanhao Huang; Shibo Feng; Wanjin Feng; Peilin Zhao; Chunyan Miao,https://arxiv.org/abs/2609.04804v1,,0,2026-09-04T07:02:12Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04803v1,2026-09-10T06:51:27.997956+00:00,Hierarchical Possession-Aware Graph Pointer Network for Pass Receiver Selection,Jingyi Wang; Da Li; Kaixin Wang; Zhangqin Huang,https://arxiv.org/abs/2609.04803v1,,0,2026-09-04T07:00:51Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04802v1,2026-09-10T06:51:28.000018+00:00,Linguistic Trajectory Encoding for Efficient Long-Horizon Spatial Memory in Embodied Agents,Tianyidan Xie; Shenyi Wang; Qiang Tang; Mingjie Wang; Zhicheng Qiu; Xuanfu Li; Zhan Xu; Jian Yang; Lanjun Wang; Zili Yi,https://arxiv.org/abs/2609.04802v1,,0,2026-09-04T07:00:48Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04801v1,2026-09-10T06:51:28.001973+00:00,Whose record is this? Diagnosing and authorizing record use in personalized multimodal models,Xinyu Mao; Junsi Li; Chenyang Liu; Haoji Zhang; Ming Sun,https://arxiv.org/abs/2609.04801v1,,0,2026-09-04T07:00:14Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04800v1,2026-09-10T06:51:28.003926+00:00,Intrinsic Temporal Adaptation of CLIP for Partially Relevant Video Retrieval,Hyun Seok Seong; Woojin Jun; SuBeen Lee; Jae-Pil Heo,https://arxiv.org/abs/2609.04800v1,,0,2026-09-04T06:58:59Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06758v1,2026-09-10T06:51:28.142867+00:00,Agentic Visual Generation: From Generative Models to Agentic Control,Yinming Huang; Shuyuan Tu; Xi Yan; Jiahao Zhan; Zihan Yang; Zhen Xing; Hui Zhang; Tiehua Zhang; Yu-Gang Jiang; Zuxuan Wu,https://arxiv.org/abs/2609.06758v1,https://github.com/YinmingHuang/Awesome-agentic-visual-generation-model,31,2026-09-06T17:59:24Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06749v1,2026-09-10T06:51:28.149469+00:00,A Novel Semantic Manifold Alignment Attack against Embedding-to-Embedding Obfuscation in Privacy-Preserving LLMs,Sicong Li; Lingfeng Yao; Xingke Yang; Ke Tu; Chenhao Wu; Hao Wang; Jiang Liu; Phone Lin; Xin Fu; Miao Pan,https://arxiv.org/abs/2609.06749v1,,0,2026-09-06T17:45:18Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06746v1,2026-09-10T06:51:28.155218+00:00,Reason Through the Latent! Making Latent Visual Reasoning Necessary,Suhyeong Park; Junha Jung; Jaewoo Kang,https://arxiv.org/abs/2609.06746v1,,0,2026-09-06T17:39:32Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06740v1,2026-09-10T06:51:28.161288+00:00,Simulating the Marginal Green Contribution of AI Modules in a Smart-Agriculture Platform: Evidence from Two Monte Carlo Experiments,Zhaoyang Li; Ruijie Zhang; Zhaoji Sun; Lu Zhang,https://arxiv.org/abs/2609.06740v1,,0,2026-09-06T17:25:33Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06737v1,2026-09-10T06:51:28.165919+00:00,Monte Carlo-Based Ex-Ante Assessment of the Green Benefits of an AI-Driven Smart Agriculture Platform in Hainan,Zhaoyang Li; Ruijie Zhang; Zhaoji Sun; Lu Zhang,https://arxiv.org/abs/2609.06737v1,,0,2026-09-06T17:19:43Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.06733v1,2026-09-10T06:51:28.169841+00:00,LASSNet: Level-Aware Availability-Conditioned Spatial-Semantic Fusion for Brain Tumor Segmentation with Missing MRI Modalities,Haobin Chen; Ao Chang; Rundong Wang; Zhicheng Li; Zhihao Tang; Heqin Zhu,https://arxiv.org/abs/2609.06733v1,,0,2026-09-06T17:12:43Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05093v1,2026-09-10T06:51:28.327853+00:00,LLM-Guided Program Evolution for Circle Packing: Breaking 10 Packomania Records for $28,Wes Sander,https://arxiv.org/abs/2609.05093v1,https://github.com/ucsandman/discovery-loop,15,2026-09-04T12:48:13Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05091v1,2026-09-10T06:51:28.334498+00:00,Training-Free Logical and Structural Anomaly Detection via Calibrated Fusion,Changyi Li; Miao Yu; Kai Dong; Yu Xiao,https://arxiv.org/abs/2609.05091v1,,0,2026-09-04T12:45:50Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05090v1,2026-09-10T06:51:28.340465+00:00,Constructing and Evaluating Clinical Reasoning Trajectories for Medical Agent,Yunqi Zhu; Wensheng Zhang; Xuebing Yang,https://arxiv.org/abs/2609.05090v1,,0,2026-09-04T12:44:10Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05088v1,2026-09-10T06:51:28.346073+00:00,Measuring AI Accountability Through Argumentation Analysis: Can Model Reasoning Withstand Scrutiny?,Daan R. Henselmans; Derck W. E. Prinzhorn; Arno Libert,https://arxiv.org/abs/2609.05088v1,,0,2026-09-04T12:40:39Z
