sourceRecordId,rawEntityName,normalizedEntityName,canonicalEntityId,canonicalEntityName,matchStrategy,confidence,aliasesUsed,domainsUsed,resolverVersion,timestamp,unresolvedReason
STARTUP:1457,SGL Carbon SE,sgl carbon,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847713+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1324,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847714+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1444,Aflac,aflac,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847714+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2439,Monuta,monuta,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847715+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1166,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847716+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2731,American Megatrends,american megatrends,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847716+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2332,Swisscom Ag,swisscom,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847718+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5358,Zum Schwarzen Kameel,zum schwarzen kameel,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847719+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2148,American Tower Corp /Ma/,american tower ma,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847720+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4868,Telus Corp,telus,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847720+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5478,Austrian Mint,austrian mint,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847721+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4751,Joint Stock Co Kaspi.Kz,joint stock kaspi kz,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847721+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5153,Sibanye Stillwater Ltd,sibanye stillwater,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847722+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2753,APC by Schneider Electric,apc by schneider electric,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847722+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1361,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847723+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2643,Aker Solutions,aker solutions,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847724+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1636,Hubert Burda Media Holding,hubert burda media holding,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847724+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5096,Xp Inc.,xp,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847725+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1712,Canadian Arrow,canadian arrow,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847725+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4917,Hecla Mining Co/De/,hecla mining de,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847726+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2034,Boeing Co,boeing,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847727+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4931,"Guidewire Software, Inc.",guidewire software,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847727+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4958,Watsco Inc,watsco,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847728+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1911,Computershare,computershare,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847728+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5596,Digium,digium,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847729+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1360,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847730+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5184,Uganda Securities Exchange,uganda securities exchange,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847730+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4623,"Sunbelt Rentals Holdings, Inc.",sunbelt rentals holdings,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847731+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2568,PetroChina Company Limited,petrochina,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847731+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1739,Aarikka,aarikka,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847732+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5387,Aptiv,aptiv,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847733+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2518,Eurest,eurest,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847733+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1552,Foveon,foveon,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847734+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2205,Paccar Inc,paccar,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847734+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2877,ADC Telecommunications,adc telecommunications,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847735+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1947,Walmart Inc.,walmart,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847735+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2796,Mix Markt,mix markt,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847736+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1588,Yates Racing,yates racing,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847737+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4747,General Mills Inc,general mills,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847737+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5183,Bene GmbH,bene,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847738+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:3896,Bestseller,bestseller,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847738+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1873,Metrovías,metrovias,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847739+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5679,National Iranian Oil Company,national iranian oil,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847740+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1532,Acxiom,acxiom,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847740+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2807,ADOX,adox,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847741+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1417,Bloomberg L.P.,bloomberg l p,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847741+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5071,Mgm Resorts International,mgm resorts international,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847742+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2192,Wheaton Precious Metals Corp.,wheaton precious metals,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847743+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1660,AMR Corporation,amr,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847743+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1517,Chronoswiss,chronoswiss,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847744+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5239,Dongkuk Steel,dongkuk steel,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847744+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5036,Suzano S.A.,suzano,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847745+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4685,Grupo Cibest S.A.,grupo cibest,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847746+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1658,AMK GmbH,amk,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847746+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1489,DHL Aviation,dhl aviation,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847747+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5650,FrieslandCampina Germany,frieslandcampina germany,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847747+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5266,Herpa,herpa,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847748+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4942,Avery Dennison Corp,avery dennison,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847748+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4806,Tourmaline Oil Corp/Adr,tourmaline oil adr,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847749+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1328,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847750+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4813,"Amer Sports, Inc.",amer sports,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847750+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5319,Delta Air Lines,delta air lines,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847751+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5513,Biostar Microtech International,biostar microtech international,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847751+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5152,Rambus Inc,rambus,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847752+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5706,Bayer HealthCare,bayer healthcare,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847753+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1699,Adio,adio,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847753+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2816,ABG Frankfurt Holding,abg frankfurt holding,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847754+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5247,FILM Ferrania,film ferrania,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847754+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4666,First Citizens Bancshares Inc /De/,first citizens bancshares de,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847755+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4722,"Coeur Mining, Inc.",coeur mining,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847756+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4815,Wesco International Inc,wesco international,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847756+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1893,OAG,oag,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847757+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2635,Aiwa,aiwa,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847757+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2849,Kontinentalinvest,kontinentalinvest,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847758+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2719,Diehl Defence,diehl defence,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847758+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2778,Nippon Sheet Glass,nippon sheet glass,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847759+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1870,Iskra,iskra,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847760+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1938,Microsoft Corp,microsoft,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847760+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1107,Finix Comics,finix comics,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847761+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1615,Mozilla Corporation,mozilla,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847761+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2026,Nextera Energy Inc,nextera energy,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847762+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1423,Maersk,maersk,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847762+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1575,SurveyMonkey,surveymonkey,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847763+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1320,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847764+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2209,Transdigm Group Inc,transdigm group,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847764+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1420,Lenovo,lenovo,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847765+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5414,American Express,american express,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847766+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2305,Veeva Systems Inc,veeva systems,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847766+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2213,"United Rentals, Inc.",united rentals,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847767+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2771,American Standard Companies,american standard companies,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847767+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2495,Cairo Amman Bank,cairo amman bank,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847768+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2798,Mix Markt,mix markt,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847770+00:00,NO_MATCHING_ENTITY_FOUND
